,Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P85,P90,P95,P97
89,Male,112.5,-2.90004,16.317284,0.11468929,13.800326,14.037803,14.437029,15.217298,16.317284,17.811121,18.87767,19.762661,21.441782,22.895748
90,Male,113.5,-2.8825939,16.356373,0.11540652,13.818996,14.058277,14.460594,15.247115,16.356373,17.863615,18.940285,19.83401,21.53051,23.000364
91,Male,114.5,-2.8653114,16.396059,0.1161131,13.838281,14.079367,14.484777,15.277549,16.396059,17.916645,19.003359,19.905731,21.619385,23.104845
92,Male,115.5,-2.8482046,16.436333,0.116808705,13.858176,14.101069,14.509575,15.308593,16.436333,17.970196,19.066875,19.977806,21.708374,23.209152
93,Male,116.5,-2.831285,16.477182,0.11749304,13.878681,14.123382,14.534981,15.340238,16.477182,18.02425,19.130814,20.05021,21.797453,23.313257
94,Male,117.5,-2.8145618,16.518599,0.11816584,13.899792,14.146299,14.560991,15.3724785,16.518599,18.078794,19.195156,20.122925,21.886591,23.417122
95,Male,118.5,-2.7980435,16.56057,0.11882684,13.921506,14.169821,14.587602,15.405308,16.56057,18.133812,19.25988,20.195923,21.975761,23.520714
96,Male,119.5,-2.7817369,16.603086,0.11947578,13.94382,14.19394,14.614807,15.438718,16.603086,18.18929,19.324972,20.269188,22.064938,23.624004
97,Male,120.5,-2.7656481,16.64614,0.120112464,13.966731,14.218655,14.642603,15.472702,16.64614,18.245213,19.390411,20.342695,22.154093,23.726961
98,Male,121.5,-2.749782,16.689714,0.12073666,13.990236,14.24396,14.670983,15.507254,16.689714,18.301563,19.45618,20.416428,22.2432,23.829554
99,Male,122.5,-2.7341425,16.733807,0.12134818,14.01433,14.269854,14.6999445,15.542364,16.733807,18.358332,19.522263,20.490362,22.332237,23.931751
100,Male,123.5,-2.7187328,16.778404,0.12194685,14.039011,14.296328,14.729479,15.578029,16.778404,18.4155,19.58864,20.564482,22.421179,24.03353
